epoch,train_loss,train_accuracy,valid_accuracy
1,0.3491740487870716,0.8883333333333333,0.9366666666666666
2,0.1139632956470762,0.9623809523809523,0.9588888888888889
3,0.0683936557883308,0.9766666666666667,0.91
4,0.05938789447148641,0.9773809523809524,0.9488888888888889
5,0.045632062185378304,0.9854761904761905,0.9533333333333334
6,0.025251778818312146,0.9930952380952381,0.9588888888888889
7,0.024532745735985892,0.9923809523809524,0.9555555555555556
8,0.00687731283051627,0.9980952380952381,0.9644444444444444
9,0.011738090742202032,0.9964285714285714,0.9711111111111111
10,0.00778039554754893,0.9980952380952381,0.9611111111111111
11,0.0030609144483293806,0.9995238095238095,0.9655555555555555
12,0.0020884655486969723,1.0,0.9655555555555555
